Downloaded from Ill state water survey; http://www.isws.illinois.edu/data/climatedb/choose.asp?stn=118740&msg=2
Year,Month,Precipitation,Mean
1998,1,2.23,32.7
1998,2,1.80,39.4
1998,3,6.35,39.9
1998,4,4.61,52.7
1998,5,7.82,67.0
1998,6,8.72,71.0
1998,7,4.19,74.6
1998,8,1.94,75.2
1998,9,2.19,71.8
1998,10,2.94,56.4
1998,11,2.43,44.4
1998,12,0.89,34.7
1998,Total,46.11,55.0
1998,Winter,6.00,34.6
1998,Spring,18.78,53.2
1998,Summer,14.85,73.6
1998,Fall,7.56,57.5
1999,1,4.14,25.4
1999,2,2.48,35.8
1999,3,1.90,37.9
1999,4,4.77,53.2
1999,5,3.52,64.5
1999,6,6.14,72.1
1999,7,3.82,78.1
1999,8,5.34,71.2
1999,9,1.91,65.6
1999,10,1.92,54.0
1999,11,0.81,47.2
1999,12,2.05,31.9
1999,Total,38.80,53.1
1999,Winter,7.51,31.8
1999,Spring,10.19,51.8
1999,Summer,15.30,73.8
1999,Fall,4.64,55.6
2000,1,1.54,25.6
2000,2,2.40,36.6
2000,3,1.77,45.0
2000,4,2.78,50.7
2000,5,6.18,64.2
2000,6,4.52,70.3
2000,7,2.45,73.0
2000,8,3.59,74.1
2000,9,4.24,65.7
2000,10,2.76,57.3
2000,11,3.84,37.8
2000,12,1.73,16.5
2000,Total,37.80,51.4
2000,Winter,5.86,31.0
2000,Spring,10.73,53.3
2000,Summer,10.56,72.5
2000,Fall,10.84,53.7
2001,1,1.32,25.5
2001,2,3.84,30.5
2001,3,0.85,37.0
2001,4,1.09,57.9
2001,5,3.83,64.1
2001,6,2.83,70.0
2001,7,3.64,75.5
2001,8,4.79,74.8
2001,9,3.55,64.7
2001,10,6.45,53.0
2001,11,1.91,49.3
2001,12,2.21,35.0
2001,Total,36.31,53.2
2001,Winter,6.89,24.0
2001,Spring,5.77,52.9
2001,Summer,11.26,73.5
2001,Fall,11.91,55.6
2002,1,2.81,34.0
2002,2,2.95,33.2
2002,3,3.10,36.2
2002,4,4.21,52.7
2002,5,6.29,58.7
2002,6,2.78,73.9
2002,7,2.73,79.0
2002,8,7.27,75.0
2002,9,1.77,70.0
2002,10,3.17,52.5
2002,11,0.86,39.4
2002,12,1.54,31.9
2002,Total,39.48,53.1
2002,Winter,7.97,34.1
2002,Spring,13.60,49.2
2002,Summer,12.78,76.0
2002,Fall,5.80,54.0
2003,1,0.79,21.1
2003,2,1.60,25.1
2003,3,2.08,42.7
2003,4,2.20,54.0
2003,5,3.59,61.4
2003,6,3.04,67.8
2003,7,6.98,74.5
2003,8,6.27,74.8
2003,9,4.07,63.9
2003,10,1.31,54.5
2003,11,4.94,44.8
2003,12,3.11,33.1
2003,Total,39.98,51.6
2003,Winter,3.93,26.1
2003,Spring,7.87,52.7
2003,Summer,16.29,72.4
2003,Fall,10.32,54.4
2004,1,2.18,24.0
2004,2,0.56,30.0
2004,3,7.74,44.1
2004,4,1.88,53.9
2004,5,4.38,65.7
2004,6,3.77,69.6
2004,7,5.73,72.6
2004,8,3.59,68.4
2004,9,2.19,68.6
2004,10,3.71,54.5
2004,11,5.16,45.2
2004,12,2.02,32.0
2004,Total,42.91,52.4
2004,Winter,5.83,28.8
2004,Spring,14.00,54.5
2004,Summer,13.09,70.2
2004,Fall,11.06,56.1
2005,1,6.20,27.8
2005,2,2.00,34.7
2005,3,1.73,38.3
2005,4,3.98,54.7
2005,5,0.97,61.3
2005,6,2.42,75.0
2005,7,4.30,76.1
2005,8,2.26,75.8
2005,9,5.66,70.9
2005,10,1.28,55.9
2005,11,3.72,43.7
2005,12,1.86,24.8
2005,Total,36.38,53.3
2005,Winter,10.22,31.3
2005,Spring,6.68,51.4
2005,Summer,8.98,75.7
2005,Fall,10.66,56.8
2006,1,1.78,37.9
2006,2,0.52,31.0
2006,3,3.46,41.9
2006,4,4.41,56.5
2006,5,3.06,62.1
2006,6,1.65,71.4
2006,7,7.85,76.7
2006,8,3.00,74.0
2006,9,1.34,63.8
2006,10,3.78,51.4
2006,11,2.35,43.8
2006,12,4.68,35.7
2006,Total,37.88,54.0
2006,Winter,4.16,31.3
2006,Spring,10.93,53.5
2006,Summer,12.50,74.1
2006,Fall,7.47,53.0
2007,1,3.03,29.7
2007,2,2.07,19.3
2007,3,2.23,48.0
2007,4,2.43,50.3
2007,5,1.63,68.1
2007,6,5.68,73.5
2007,7,3.44,72.9
2007,8,1.48,78.2
2007,9,2.06,70.8
2007,10,3.29,59.9
2007,11,3.65,42.3
2007,12,2.95,30.7
2007,Total,33.94,53.8
2007,Winter,9.78,28.6
2007,Spring,6.29,55.5
2007,Summer,10.60,74.9
2007,Fall,9.00,57.7
2008,1,2.31,25.9
2008,2,5.96,25.6
2008,3,2.84,38.7
2008,4,3.01,51.2
2008,5,6.07,58.4
2008,6,6.40,73.2
2008,7,7.89,73.8
2008,8,0.79,72.1
2008,9,8.15,67.4
2008,10,2.96,54.8
2008,11,1.31,39.5
2008,12,4.89,26.2
2008,Winter,11.13,27.4
2008,Spring,11.92,49.4
2008,Summer,15.08,73.0
